  1,  1,  1
  2,  3,  4
  3,  5,  7
  4,  7, 10
  5,  9, 13
  6, 11, 16
  7, 13, 19
  8, 15, 22
  9, 17, 25
 10, 19, 28
 11, 21, 31
 12, 23, 34
 13, 25, 37
 14, 27, 40
 15, 29, 43
 16, 31, 46
 17, 33, 49
 18, 35, 52
 19, 37, 55
 20, 39, 58
 21, 41, 61
 22, 43, 64
 23, 45, 67
 24, 47, 70
 25, 49, 73
 26, 51, 76
 27, 53, 79
 28, 55, 82
 29, 57, 85
 30, 59, 88
 31, 61, 91
 32, 63, 94
 33, 65, 97
 34, 67,100
 35, 69,103
 36, 71,106
 37, 73,109
 38, 75,112
 39, 77,115
 40, 79,118
 41, 81,121
 42, 83,124
 43, 85,127
 44, 87,130
 45, 89,133
 46, 91,136
 47, 93,139
 48, 95,142
 49, 97,145
 50, 99,148
 51,101,151
 52,103,154
 53,105,157
 54,107,160
 55,109,163
 56,111,166
 57,113,169
 58,115,172
 59,117,175
 60,119,178
 61,121,181
 62,123,184
 63,125,187
 64,127,190
 65,129,193
 66,131,196
 67,133,199
 68,135,202
 69,137,205
 70,139,208
 71,141,211
 72,143,214
 73,145,217
 74,147,220
 75,149,223
 76,151,226
 77,153,229
 78,155,232
 79,157,235
 80,159,238
 81,161,241
 82,163,244
 83,165,247
 84,167,250
 85,169,253
 86,171,256
 87,173,259
 88,175,262
 89,177,265
 90,179,268
 91,181,271
 92,183,274
 93,185,277
 94,187,280
 95,189,283
 96,191,286
 97,193,289
 98,195,292
 99,197,295
100,199,298
